entry_id,category,domain,slug,tier,label,path,generated_at
META-GLU01,metabolic,metabolic,berberine-meta-glu01,Silver,PASS,entries/metabolic/berberine-meta-glu01/metabolic/v1,2025-10-24T08:19:07.017645+00:00
META-GLU02,metabolic,metabolic,alpha-lipoic-acid-meta-glu02,Silver,PASS,entries/metabolic/alpha-lipoic-acid-meta-glu02/metabolic/v1,2025-10-24T08:19:07.137967+00:00
META-GLU03,metabolic,metabolic,chromium-meta-glu03,Silver,PASS,entries/metabolic/chromium-meta-glu03/metabolic/v1,2025-10-24T08:19:07.254430+00:00
META-GLU04,metabolic,metabolic,cinnamon-meta-glu04,Silver,PASS,entries/metabolic/cinnamon-meta-glu04/metabolic/v1,2025-10-24T08:19:07.372052+00:00
META-GLU05,metabolic,metabolic,gymnema-meta-glu05,Silver,PASS,entries/metabolic/gymnema-meta-glu05/metabolic/v1,2025-10-24T08:19:07.491248+00:00
META-GLU06,metabolic,metabolic,bitter-melon-meta-glu06,Silver,PASS,entries/metabolic/bitter-melon-meta-glu06/metabolic/v1,2025-10-24T08:19:07.611183+00:00
META-GLU07,metabolic,metabolic,inositol-meta-glu07,Silver,PASS,entries/metabolic/inositol-meta-glu07/metabolic/v1,2025-10-24T08:19:07.730724+00:00
META-GLU08,metabolic,metabolic,magnesium-meta-glu08,Silver,PASS,entries/metabolic/magnesium-meta-glu08/metabolic/v1,2025-10-24T08:19:07.836354+00:00
META-GLU09,metabolic,metabolic,vanadyl-sulfate-meta-glu09,Silver,PASS,entries/metabolic/vanadyl-sulfate-meta-glu09/metabolic/v1,2025-10-24T08:19:07.941002+00:00
META-GLU10,metabolic,metabolic,apple-cider-vinegar-meta-glu10,Silver,PASS,entries/metabolic/apple-cider-vinegar-meta-glu10/metabolic/v1,2025-10-24T08:19:08.104098+00:00
META-GLU11,metabolic,metabolic,fenugreek-meta-glu11,Silver,PASS,entries/metabolic/fenugreek-meta-glu11/metabolic/v1,2025-10-24T08:19:08.222080+00:00
META-GLU12,metabolic,metabolic,spirulina-meta-glu12,Silver,PASS,entries/metabolic/spirulina-meta-glu12/metabolic/v1,2025-10-24T08:19:08.346004+00:00
META-GLU13,metabolic,metabolic,chlorella-meta-glu13,Silver,PASS,entries/metabolic/chlorella-meta-glu13/metabolic/v1,2025-10-24T08:19:08.464097+00:00
META-GLU14,metabolic,metabolic,milk-thistle-meta-glu14,Silver,PASS,entries/metabolic/milk-thistle-meta-glu14/metabolic/v1,2025-10-24T08:19:08.580622+00:00
META-GLU15,metabolic,metabolic,artichoke-extract-meta-glu15,Silver,PASS,entries/metabolic/artichoke-extract-meta-glu15/metabolic/v1,2025-10-24T08:19:08.708022+00:00
META-GLU16,metabolic,metabolic,olive-leaf-meta-glu16,Silver,PASS,entries/metabolic/olive-leaf-meta-glu16/metabolic/v1,2025-10-24T08:19:08.828987+00:00
META-GLU17,metabolic,metabolic,resveratrol-meta-glu17,Silver,PASS,entries/metabolic/resveratrol-meta-glu17/metabolic/v1,2025-10-24T08:19:08.946939+00:00
META-GLU18,metabolic,metabolic,pterostilbene-meta-glu18,Silver,PASS,entries/metabolic/pterostilbene-meta-glu18/metabolic/v1,2025-10-24T08:19:09.090540+00:00
META-GLU19,metabolic,metabolic,omega-3-meta-glu19,Silver,PASS,entries/metabolic/omega-3-meta-glu19/metabolic/v1,2025-10-24T08:19:09.214679+00:00
META-GLU20,metabolic,metabolic,curcumin-meta-glu20,Silver,PASS,entries/metabolic/curcumin-meta-glu20/metabolic/v1,2025-10-24T08:19:09.337914+00:00
IMM-IMM01,immune,immune,echinacea-imm-imm01,Gold,PASS,entries/immune/echinacea-imm-imm01/immune/v1,2025-10-24T08:19:09.459179+00:00
IMM-IMM02,immune,immune,elderberry-imm-imm02,Gold,PASS,entries/immune/elderberry-imm-imm02/immune/v1,2025-10-24T08:19:09.578910+00:00
IMM-IMM03,immune,immune,vitamin-c-imm-imm03,Gold,PASS,entries/immune/vitamin-c-imm-imm03/immune/v1,2025-10-24T08:19:09.701680+00:00
IMM-IMM04,immune,immune,vitamin-d-imm-imm04,Gold,PASS,entries/immune/vitamin-d-imm-imm04/immune/v1,2025-10-24T08:19:09.825189+00:00
IMM-IMM05,immune,immune,zinc-imm-imm05,Gold,PASS,entries/immune/zinc-imm-imm05/immune/v1,2025-10-24T08:19:09.944692+00:00
IMM-IMM06,immune,immune,selenium-imm-imm06,Gold,PASS,entries/immune/selenium-imm-imm06/immune/v1,2025-10-24T08:19:10.089251+00:00
IMM-IMM07,immune,immune,beta-glucans-imm-imm07,Gold,PASS,entries/immune/beta-glucans-imm-imm07/immune/v1,2025-10-24T08:19:10.199553+00:00
IMM-IMM08,immune,immune,colostrum-imm-imm08,Gold,PASS,entries/immune/colostrum-imm-imm08/immune/v1,2025-10-24T08:19:10.334370+00:00
IMM-IMM09,immune,immune,propolis-imm-imm09,Gold,PASS,entries/immune/propolis-imm-imm09/immune/v1,2025-10-24T08:19:10.450040+00:00
IMM-IMM10,immune,immune,andrographis-imm-imm10,Gold,PASS,entries/immune/andrographis-imm-imm10/immune/v1,2025-10-24T08:19:10.570917+00:00
IMM-IMM11,immune,immune,quercetin-imm-imm11,Gold,PASS,entries/immune/quercetin-imm-imm11/immune/v1,2025-10-24T08:19:10.689532+00:00
IMM-IMM12,immune,immune,n-acetyl-cysteine-imm-imm12,Gold,PASS,entries/immune/n-acetyl-cysteine-imm-imm12/immune/v1,2025-10-24T08:19:10.809247+00:00
IMM-IMM13,immune,immune,glutathione-imm-imm13,Gold,PASS,entries/immune/glutathione-imm-imm13/immune/v1,2025-10-24T08:19:10.917171+00:00
IMM-IMM14,immune,immune,spirulina-imm-imm14,Gold,PASS,entries/immune/spirulina-imm-imm14/immune/v1,2025-10-24T08:19:11.013980+00:00
IMM-IMM15,immune,immune,chlorella-imm-imm15,Gold,PASS,entries/immune/chlorella-imm-imm15/immune/v1,2025-10-24T08:19:11.117077+00:00
IMM-IMM16,immune,immune,cordyceps-imm-imm16,Gold,PASS,entries/immune/cordyceps-imm-imm16/immune/v1,2025-10-24T08:19:11.220624+00:00
IMM-IMM17,immune,immune,reishi-imm-imm17,Gold,PASS,entries/immune/reishi-imm-imm17/immune/v1,2025-10-24T08:19:11.318442+00:00
IMM-IMM18,immune,immune,maitake-imm-imm18,Gold,PASS,entries/immune/maitake-imm-imm18/immune/v1,2025-10-24T08:19:11.417523+00:00
IMM-IMM19,immune,immune,shiitake-imm-imm19,Gold,PASS,entries/immune/shiitake-imm-imm19/immune/v1,2025-10-24T08:19:11.515321+00:00
IMM-IMM20,immune,immune,turkey-tail-imm-imm20,Gold,PASS,entries/immune/turkey-tail-imm-imm20/immune/v1,2025-10-24T08:19:11.621318+00:00
MET-GLUC-BER,metabolic,metabolic,berberine-met-gluc-ber,Gold,PASS,entries/metabolic/berberine-met-gluc-ber/metabolic/v1,2025-10-24T08:19:11.719269+00:00
MET-CINN-A1C,metabolic,metabolic,cinnamon-met-cinn-a1c,Gold,PASS,entries/metabolic/cinnamon-met-cinn-a1c/metabolic/v1,2025-10-24T08:19:11.822136+00:00
MET-ALA-MITO,metabolic,metabolic,alpha-lipoic-acid-met-ala-mito,Gold,PASS,entries/metabolic/alpha-lipoic-acid-met-ala-mito/metabolic/v1,2025-10-24T08:19:11.955923+00:00
MET-OMEGA-PREDIAB,metabolic,metabolic,omega-3-met-omega-prediab,Gold,PASS,entries/metabolic/omega-3-met-omega-prediab/metabolic/v1,2025-10-24T08:19:12.058569+00:00
MET-INOS-OVUL,metabolic,metabolic,myo-inositol-met-inos-ovul,Gold,PASS,entries/metabolic/myo-inositol-met-inos-ovul/metabolic/v1,2025-10-24T08:19:12.158049+00:00
MET-CHROM-INS,metabolic,metabolic,chromium-picolinate-met-chrom-ins,Gold,PASS,entries/metabolic/chromium-picolinate-met-chrom-ins/metabolic/v1,2025-10-24T08:19:12.255863+00:00
MET-GLP-FIBER,metabolic,metabolic,prebiotic-fiber-met-glp-fiber,Gold,PASS,entries/metabolic/prebiotic-fiber-met-glp-fiber/metabolic/v1,2025-10-24T08:19:12.355168+00:00
MET-CURC-METAB,metabolic,metabolic,curcumin-met-curc-metab,Gold,PASS,entries/metabolic/curcumin-met-curc-metab/metabolic/v1,2025-10-24T08:19:12.456080+00:00
IMM-ELDER-URTI,immune_health,immune,elderberry-imm-elder-urti,Gold,PASS,entries/immune/elderberry-imm-elder-urti/immune_health/v1,2025-10-24T08:19:12.561455+00:00
IMM-BCP-IMM,immune_health,immune,black-cumin-seed-imm-bcp-imm,Gold,PASS,entries/immune/black-cumin-seed-imm-bcp-imm/immune_health/v1,2025-10-24T08:19:12.658006+00:00
